attributeName,code,definition
runoff_location,Ave7th,Salt River at Seventh Avenue Avenue
runoff_location,BV,Bella Vista
runoff_location,CB,Indian Bend Wash at Camelback Road
runoff_location,centralNorth,Salt River at Central Avenue (north)
runoff_location,centralSouth,Salt River at Central Avenue (south)
runoff_location,ENC,Encantada
runoff_location,IBW,Indian Bend Wash at Curry Road
runoff_location,KP,Kiwanis Park in Tempe AZ
runoff_location,LM,Indian Bend Wash at Lake Marguerite
runoff_location,MR,Martin Residence
runoff_location,MS,Montessori
runoff_location,PIE,Pierce Road
runoff_location,Price,drain into the Salt River near Price Road
runoff_location,SGC,Indian Bend Wash at Silverado Golf Course
runoff_location,SW,Sweetwater
blank,FALSE,indicates sample is not a field blank
blank,TRUE,indicates sample is a field blank
analysis_name,CaD_FLAME_AA,dissolved calcium (FLAME AA)
analysis_name,CaD_ICP,dissolved calcium (ICP)
analysis_name,ClD_LACHAT,dissolved chloride (LACHAT)
analysis_name,DOC_TOC,dissolved organic carbon
analysis_name,KD_ICP,dissolved potassium (ICP)
analysis_name,MgD_ICP,dissolved magnesium (ICP)
analysis_name,NaD_ICP,dissolved sodium (ICP)
analysis_name,NH4_LACHAT,ammonium-nitrogen (LACHAT)
analysis_name,NiD_ICP,dissolved nickel (ICP-OES)
analysis_name,NO2D_LACHAT,dissolved nitrite-nitrogen (LACHAT)
analysis_name,NO3D_IC,dissolved nitrate-nitrogen (IC)
analysis_name,NO3D_LACHAT,dissolved nitrate-nitrogen (Lachat)
analysis_name,NO3T_AQ2,total nitrogen (AQ2)
analysis_name,NO3T_TOC_TN,total nitrogen by combustion analysis TOC/TN
analysis_name,NO3T_TRAACS,total dissolved nitrogen (TRAACS): NH4-N and NO3-N and DON are oxidized to NO3-N and measured together
analysis_name,PbD_ICP,dissolved lead (ICP-OES)
analysis_name,PO4D_LACHAT,dissolved phosphorus (LACHAT)
analysis_name,PO4T_AQ2,total phosphorus (AQ2)
analysis_name,PO4T_LACHAT,total phosphorus (LACHAT)
analysis_name,PO4T_TRAACS,total phosphorus (TRAACS)
analysis_name,SO4D_IC,dissolved sulfate (IC)
analysis_name,ZnD_ICP,dissolved zinc (ICP-OES)
